  8, 2, 1, 4, 7, 2, 4, 27, 32, 1, 0, 2, 10, 6, 16, 62, 176, 1, 0, 1, 2, 1, 3, 138, 65, 0, 0, 0, 0, 1, 11, 44, 29, 0, 0, 2, 5, 1, 4, 77, 78, 6, 1, 23, 64, 5, 4, 40, 176, 32, 0, 4, 6, 0, 0, 31, 82, 5, 0, 0, 1, 4, 5, 9, 46, 1, 1, 10, 10, 1, 1, 40, 50, 1, 1, 21, 48, 6, 12, 71, 176, 10, 0, 0, 2, 1, 2, 115, 94, 2, 0, 0, 0, 3, 2, 13, 20, 2, 0, 1, 2, 2, 4, 19, 56, 1, 0, 1, 3, 2, 10, 102, 176, 0, 0, 0, 0, 0, 0, 161, 34, 0, 0, 0, 0, 1, 2, 20;
  0, 0, 0, 0, 135, 21, 0, 1, 74, 12, 0, 4, 134, 13, 0, 0, 149, 37, 0, 0, 4, 3, 1, 2, 29, 4, 0, 0, 8, 14, 12, 5, 0, 0, 0, 0, 135, 44, 2, 2, 64, 9, 0, 1, 149, 74, 19, 8, 149, 38, 1, 0, 4, 4, 11, 33, 46, 3, 9, 3, 0, 4, 28, 14, 4, 0, 0, 0, 29, 46, 20, 11, 15, 1, 0, 0, 32, 126, 149, 52, 149, 7, 4, 1, 1, 7, 118, 149, 23, 5, 33, 10, 0, 1, 20, 8, 19, 0, 0, 0, 0, 0, 3, 18, 30, 0, 0, 0, 0, 3, 30, 34, 16, 0, 0, 0, 0, 1, 31, 36, 1, 1, 1, 1, 1, 2, 32, 8;
  78, 31, 0, 0, 0, 0, 0, 2, 200, 70, 0, 0, 0, 0, 0, 13, 82, 7, 0, 0, 0, 0, 11, 23, 0, 0, 0, 0, 0, 1, 19, 10, 106, 18, 0, 0, 1, 1, 0, 10, 200, 32, 0, 0, 0, 0, 0, 71, 111, 4, 1, 0, 0, 0, 4, 37, 0, 0, 1, 0, 0, 0, 8, 5, 99, 12, 0, 0, 7, 17, 0, 15, 200, 44, 1, 0, 0, 0, 0, 46, 100, 20, 21, 7, 0, 0, 2, 11, 3, 8, 16, 4, 0, 0, 3, 4, 92, 4, 0, 0, 25, 72, 2, 9, 200, 12, 0, 0, 0, 1, 1, 72, 44, 10, 6, 1, 0, 0, 10, 47, 2, 1, 2, 1, 1, 2, 9, 8;
  98, 8, 0, 0, 0, 3, 0, 12, 196, 36, 0, 0, 0, 0, 0, 25, 77, 33, 14, 4, 0, 0, 1, 8, 1, 2, 12, 6, 0, 0, 5, 10, 120, 15, 0, 0, 7, 45, 3, 5, 196, 28, 0, 0, 0, 0, 0, 44, 83, 11, 2, 0, 0, 0, 5, 72, 0, 0, 1, 0, 0, 1, 9, 16, 79, 2, 0, 0, 37, 112, 5, 9, 196, 18, 0, 0, 1, 4, 1, 13, 117, 10, 1, 0, 0, 0, 0, 9, 1, 1, 1, 0, 0, 0, 0, 1, 31, 0, 0, 0, 45, 85, 3, 6, 196, 35, 0, 0, 4, 13, 2, 8, 102, 22, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0;
  8, 3, 0, 2, 31, 7, 1, 2, 41, 36, 5, 14, 118, 14, 0, 0, 154, 125, 2, 1, 4, 0, 0, 0, 29, 19, 1, 2, 1, 0, 0, 0, 20, 7, 0, 0, 33, 5, 0, 0, 41, 16, 1, 5, 154, 20, 0, 1, 154, 64, 1, 2, 17, 1, 0, 14, 80, 11, 1, 2, 0, 0, 0, 5, 25, 5, 0, 1, 24, 2, 0, 3, 44, 5, 0, 2, 154, 25, 0, 5, 154, 43, 0, 1, 27, 5, 0, 32, 64, 17, 5, 2, 0, 0, 0, 6, 13, 3, 0, 1, 15, 1, 0, 4, 12, 12, 1, 10, 154, 5, 0, 0, 154, 154, 3, 8, 37, 1, 0, 0, 56, 77, 3, 0, 0, 0, 0, 0;
  44, 23, 0, 0, 0, 1, 0, 2, 17, 4, 0, 0, 3, 26, 37, 17, 2, 0, 1, 3, 1, 29, 34, 8, 3, 1, 2, 7, 2, 8, 4, 1, 97, 18, 0, 0, 2, 1, 0, 10, 136, 4, 0, 0, 6, 39, 80, 121, 8, 0, 0, 2, 97, 136, 79, 16, 6, 1, 0, 11, 40, 24, 7, 2, 133, 9, 0, 0, 4, 6, 0, 3, 136, 53, 2, 8, 20, 8, 4, 19, 26, 13, 2, 27, 136, 70, 23, 6, 1, 0, 0, 5, 57, 25, 105, 43, 62, 20, 0, 0, 5, 45, 2, 1, 136, 135, 1, 2, 4, 2, 1, 1, 61, 44, 1, 5, 38, 45, 97, 22, 1, 0, 0, 0, 7, 27, 136, 58;
  5, 37, 95, 5, 1, 0, 1, 3, 2, 55, 130, 11, 0, 0, 1, 2, 0, 13, 112, 81, 11, 0, 0, 0, 0, 0, 4, 45, 73, 0, 0, 0, 15, 18, 17, 16, 9, 1, 0, 1, 12, 37, 102, 130, 73, 0, 0, 0, 105, 124, 106, 36, 11, 0, 0, 2, 12, 8, 3, 16, 76, 1, 0, 0, 10, 2, 3, 16, 36, 4, 1, 7, 60, 6, 7, 97, 130, 6, 1, 7, 130, 21, 5, 16, 27, 1, 1, 35, 27, 1, 1, 20, 65, 1, 0, 2, 6, 0, 0, 6, 28, 20, 4, 9, 27, 0, 0, 14, 114, 96, 85, 46, 124, 0, 0, 4, 15, 11, 46, 112, 7, 0, 0, 17, 53, 7, 5, 4;
  39, 22, 11, 15, 24, 1, 0, 0, 26, 34, 77, 115, 131, 10, 0, 1, 120, 96, 49, 15, 9, 1, 0, 2, 12, 10, 2, 6, 15, 2, 0, 2, 71, 5, 0, 1, 44, 9, 0, 5, 59, 5, 1, 7, 131, 88, 6, 7, 131, 24, 1, 1, 26, 14, 7, 30, 21, 4, 1, 4, 13, 10, 5, 9, 74, 18, 0, 0, 12, 8, 1, 2, 19, 1, 0, 0, 90, 131, 92, 33, 91, 1, 0, 0, 8, 36, 120, 131, 12, 1, 0, 0, 5, 21, 41, 24, 73, 11, 0, 0, 0, 1, 1, 5, 42, 3, 0, 0, 0, 7, 44, 87, 1, 0, 1, 3, 1, 12, 131, 60, 0, 0, 3, 15, 4, 13, 121, 18;
  0, 2, 3, 2, 16, 2, 0, 0, 93, 9, 0, 0, 68, 10, 0, 0, 165, 40, 0, 0, 2, 1, 0, 0, 44, 4, 0, 0, 27, 4, 0, 0, 1, 3, 2, 1, 10, 3, 5, 3, 84, 7, 0, 1, 74, 21, 14, 12, 165, 35, 0, 0, 4, 2, 3, 25, 69, 6, 0, 3, 36, 1, 0, 1, 0, 0, 0, 0, 1, 3, 163, 60, 19, 0, 0, 0, 9, 27, 165, 96, 165, 4, 0, 0, 1, 2, 75, 165, 42, 3, 1, 9, 36, 0, 0, 11, 2, 1, 0, 0, 0, 0, 113, 54, 2, 2, 1, 0, 0, 0, 119, 45, 9, 1, 0, 0, 0, 0, 36, 57, 3, 1, 0, 3, 15, 8, 27, 12;
  3, 3, 19, 140, 124, 0, 0, 1, 34, 62, 45, 17, 2, 0, 4, 25, 23, 85, 30, 2, 0, 2, 21, 23, 1, 7, 30, 17, 10, 14, 31, 14, 41, 7, 3, 91, 141, 0, 0, 4, 141, 9, 1, 4, 2, 0, 28, 141, 19, 7, 3, 0, 0, 0, 141, 115, 0, 2, 5, 1, 0, 0, 117, 51, 73, 5, 0, 60, 130, 0, 0, 2, 141, 20, 0, 1, 1, 0, 2, 23, 69, 6, 8, 2, 0, 1, 16, 22, 1, 4, 12, 3, 0, 0, 8, 5, 50, 8, 0, 20, 55, 0, 0, 2, 141, 30, 0, 0, 0, 0, 0, 1, 71, 6, 4, 5, 3, 2, 1, 2, 1, 1, 10, 29, 10, 0, 0, 1;
