[466, 226;
 1199, 47;
 1205, 47;
 1261, 47;
 20, 48;
 29, 48;
 177, 48;
 238, 48;
 737, 48;
 782, 48;
 815, 48;
 827, 48;
 917, 48;
 1130, 48;
 1218, 48;
 140, 49;
 249, 49;
 285, 49;
 475, 49;
 787, 49;
 803, 49;
 945, 49;
 988, 49;
 1110, 49;
 1266, 49;
 4, 50;
 18, 50;
 32, 50;
 35, 50;
 90, 50;
 156, 50;
 186, 50;
 277, 50;
 530, 50;
 690, 50;
 798, 50;
 860, 50;
 903, 50;
 1050, 50;
 1180, 50;
 1235, 50;
 1245, 50;
 40, 51;
 67, 51;
 71, 51;
 109, 51;
 152, 51;
 169, 51;
 273, 51;
 297, 51;
 317, 51;
 732, 51;
 770, 51;
 864, 51;
 967, 51;
 1121, 51;
 1188, 51;
 1202, 51;
 1248, 51;
 13, 52;
 42, 52;
 54, 52;
 94, 52;
 226, 52;
 313, 52;
 438, 52;
 557, 52;
 679, 52;
 1079, 52;
 1131, 52;
 1220, 52;
 71, 53;
 76, 53;
 120, 53;
 362, 53;
 386, 53;
 670, 53;
 824, 53;
 943, 53;
 959, 53;
 974, 53;
 988, 53;
 1016, 53;
 1095, 53;
 6, 54;
 46, 54;
 164, 54;
 168, 54;
 253, 54;
 906, 54;
 1031, 54;
 1090, 54;
 1196, 54;
 1241, 54;
 150, 55;
 157, 55;
 207, 55;
 545, 55;
 554, 55;
 569, 55;
 739, 55;
 765, 55;
 875, 55;
 955, 55;
 1066, 55;
 1078, 55;
 1085, 55;
 1125, 55;
 1140, 55;
 1151, 55;
 1188, 55;
 1268, 55;
 1274, 55;
 3, 56;
 27, 56;
 55, 56;
 83, 56;
 176, 56;
 200, 56;
 295, 56;
 646, 56;
 780, 56;
 859, 56;
 864, 56;
 903, 56;
 911, 56;
 924, 56;
 1019, 56;
 1097, 56;
 1104, 56;
 1114, 56;
 1180, 56;
 42, 57;
 87, 57;
 133, 57;
 137, 57;
 314, 57;
 345, 57;
 383, 57;
 522, 57;
 900, 57;
 980, 57;
 1117, 57;
 1155, 57;
 1176, 57;
 1186, 57;
 1193, 57;
 34, 58;
 91, 58;
 120, 58;
 131, 58;
 257, 58;
 290, 58;
 308, 58;
 332, 58;
 592, 58;
 776, 58;
 854, 58;
 930, 58;
 1014, 58;
 1129, 58;
 1157, 58;
 1226, 58;
 1248, 58;
 1258, 58;
 1264, 58;
 1270, 58;
 1276, 58;
 8, 59;
 186, 59;
 641, 59;
 997, 59;
 1165, 59;
 1209, 59;
 54, 60;
 147, 60;
 201, 60;
 208, 60;
 249, 60;
 579, 60;
 599, 60;
 810, 60;
 1050, 60;
 1060, 60;
 1067, 60;
 1085, 60;
 1244, 60;
 98, 61;
 155, 61;
 240, 61;
 292, 61;
 395, 61;
 914, 61;
 919, 61;
 961, 61;
 977, 61;
 993, 61;
 1203, 61;
 1274, 61;
 80, 62;
 197, 62;
 214, 62;
 233, 62;
 244, 62;
 283, 62;
 594, 62;
 802, 62;
 923, 62;
 969, 62;
 1104, 62;
 1108, 62;
 1129, 62;
 1163, 62;
 10, 63;
 61, 63;
 71, 63;
 95, 63;
 165, 63;
 287, 63;
 317, 63;
 742, 63;
 809, 63;
 960, 63;
 1046, 63;
 1111, 63;
 5, 64;
 99, 64;
 111, 64;
 133, 64;
 414, 64;
 478, 64;
 693, 64;
 831, 64;
 1065, 64;
 1115, 64;
 1152, 64;
 1189, 64;
 1213, 64;
 1260, 64;
 43, 65;
 628, 65;
 651, 65;
 758, 65;
 1014, 65;
 1156, 65;
 1249, 65;
 40, 66;
 105, 66;
 178, 66;
 195, 66;
 239, 66;
 309, 66;
 401, 66;
 867, 66;
 966, 66;
 1018, 66;
 1089, 66;
 1134, 66;
 1169, 66;
 1201, 66;
 1231, 66;
 1276, 66;
 97, 67;
 114, 67;
 287, 67;
 368, 67;
 741, 67;
 791, 67;
 24, 68;
 43, 68;
 102, 68;
 256, 68;
 621, 68;
 692, 68;
 1003, 68;
 1022, 68;
 1107, 68;
 1139, 68;
 1173, 68;
